5110945,"פסגות 25/75 פלוס"
5120613,"סיגמא מניות ישראל "
5108501,"עיטם (!) FOREST"
5100300,"תמיר פישמן  אג\"ח בינלאומי (!)"
5109384,"אילים (!) תיק אג\"ח ללא מניות"
5118591,"אלטשולר שחם (!) אג\"ח חו\"ל קונצרני עד 10% מט\"ח"
5130265,"איביאי 20/90 - אסטרטגיות"
5118799,"מגדל עוקבת תיק 3 הבנק הבינלאומי"
5129333,"מיטב פוקוס אג\"ח בפוקוס"
5124102,"קסם אזימוט (!) אג\"ח חברות"
5130182,"ילין לפידות 40/60"
5123948,"מיטב (!) אג\"ח קונצרני"
5130190,"ילין לפידות A ומעלה + 10% "
5101548,"קסם אקסלנס יורו "
5112826,"מגדל תיק השקעות עד 15% ‏"
5116017,"אלטשולר שחם  אג\"ח גלובלי נקובה בדולר "
5107727,"מיטב תיק אג\"ח + 15"
5118625,"איילון עוקבת תיק 3 הבנק הבינלאומי"
5101712,"הראל אג\"ח יורו "
5101159,"רוטשילד תיק מניות גלובלי "
5100243,"פסגות מניות דיבידנד גלובלי "
5127949,"אי.בי.אי. עד 3 שנים 10/90"
5109558,"קסם אקסלנס עוקבת תיק 3 הבנק הבינלאומי"
5123443,"MTF מחקה S&P 500 Dividend Aristocrats  מנוטרלת מט\"ח"
5125695,"מגדל (!) אג\"ח חברות Buy Side"
5105911,"אלטשולר שחם ! אגח גלובלי"
5129093,"פורצ`ן גמישה"
5128780,"ילין לפידות עוקבת תיק 4 בנק דיסקונט"
5129226,"S&P Consumer Staples PTF"
5118773,"טרגט אניגמה אג\"ח חברות (!) ללא מניות"
5115647,"פסגות אג\"ח מדורג – נקובה $‏"
5127923,"מיטב אג\"ח חו\"ל פלוס"
5118385,"מגדל תיק Total Return פלוס"
5130042,"איילון תיק מניות "
5125042,"ילין לפידות עוקבת תיק 3 הבנק הבינלאומי "
5112677,"מגדל בונד שקלי A ומעלה"
5124003,"א.ש SmartBeta מחקה אירופה A.B מנוטרלת מט\"ח"
5127543,"קסם DAX 30 KTF "
5119367,"מיטב אג\"ח פלוס"
5110424,"פסגות אג\"ח משולבת + 20%"
5129168,"הראל מניות תנודתיות נמוכה"
5100474,"מיטב מניות ישראל"
5126024,"מיטב ניהול השקעות"
5120225,"אימפקט מניות "
5124557,"תכלית DAX 30 TTF "
5125265,"FOREST 10/90"
5118955,"הורייזן אג\"ח דינמית"
5130224,"מגדל  אג\"ח חברות פלוס"
5111711,"מגדל אפיקים פרימיום "
5115407,"אלטשולר שחם עוקבת תיק חו\"ל 2 הבנק הבינלאומי"
5100615,"אי.בי.אי אגח יורו בינלאומי !"
5124615,"אלטשולר שחם 50-50"
5129465,"הראל מניות במומנטום"
5108725,"פסגות ישראל 30/70"
5124227,"אושן יצירה 30/70"
5114889,"פסגות דינמית (!) אג\"ח + 10%"
5109723,"איילון עוקבת תיק 4 בנק דיסקונט"
5127121,"תמיר פישמן עוקבת תיק 3 הבנק הבינלאומי"
5120761,"קסם אקסלנס (!) 10-90 "
5127642,"MTF מחקה DAX 30  "
5129978,"FOREST (!) אג\"ח ללא מניות"
5122064,"פסגות ספיר גמישה"
5121249,"מור 10/90 תיק חו\"ל "
5112487,"פסגות (!) קונצרני ישראל"
5128566,"הראל גביש (!) אג\"ח חברות ללא מניות"
5118815,"קסם אקסלנס (!) מבחר קונצרני + 10% "
5121363,"אלפי בנדק 20/80"
5125414,"מגדל 20/80 Buy Side"
5129119,"פורצ`ן 10/90"
5129846,"קסם KTF אינדקס Bullet דולר 2025 נקובה $ "
5104237,"אנליסט (!) אג\"ח חו\"ל ללא מניות"
5100813,"אלטשולר שחם שקלית ללא מניות "
5118237,"מיטב אג\"ח + 20% "
5125745,"אילים עוקבת תיק 3 הבנק הבינלאומי"
5104278,"פסגות יפן Stock Picking"
5104849,"מגדל (!) אג\"ח חברות"
5100557,"קסם אקסלנס אג\"ח ממשלתי בחו\"ל עד שנתיים מנוטרלת מט\"ח"
5114749,"פסגות שקלית פלוס"
5105259,"מגדל אפיקים אגח תשואה כוללת"
5118658,"פסגות אג\"ח 2-5 שנים – מנוטרלת מט\"ח"
5125422,"מגדל 30/70 Buy Side"
5126107,"מיטב פוקוס 10/90"
5106208,"מגדל (!) תשואה כוללת + 10%‏"
5105572,"M.Q.Model מגדל 10/90 "
5128491,"ילין לפידות 25/75 צמיחה"
5111661,"פסגות (!) תיק אג\"ח חו\"ל נקובה $"
5112693,"אפסילון מניות חו\"ל"
5103759,"מגדל הודו"
5124920,"אפסילון גמישה"
5121330,"פסגות ספיר תיק חו\"ל"
5100953,"אפסילון תיק מנוהל"
5126727,"אלטשולר שחם ! תיק אג\"ח ללא מניות"
5123872,"מיטב אג\"ח + 10%"
5104781,"פסגות אירופה Stock Picking"
5118179,"קסם iBoxx US Liquid Investment Grade Top 30 KTF"
5125208,"אלפי בנדק 30/70 "
5127931,"מיטב אג\"ח ישראל + 10%"
5123658,"פסגות ניהול השקעות"
5102678,"מגדל עוקבת תיק 3 בנק דיסקונט"
5113089,"פסגות פלטינום אג\"ח מדינה ללא מניות"
5112396,"קסם אקסלנס (!) קונצרני"
5126180,"אלטשולר שחם 35-65"
5125794,"אילים 20/80"
5118435," דיאמונד 20/80"
5130455,"מיטב אג\"ח מדורג עד 4 שנים"
5128590,"הראל גביש תיק השקעות ללא מניות"
5118567,"פסגות אג\"ח פלוס"
5127220,"מוניטר 30/70- נקובה $"
5121074,"ברק 10/90"
5115282," מגדל 10/90 פרימיום "
5118716,"מיטב עוקבת תיק 3 בנק דיסקונט"
5109319,"קסם 30/70"
5128061,"קסם MDAX KTF מנוטרלת מט\"ח"
5130588,"קסם אקסלנס עוקבת מרכיב אג\"ח – תיק 3 הבנק הבינלאומי "
5130380,"PTF תל בונד שקלי בנקים וביטוח"
5107503,"הראל אג\"ח + 10%"
5108519,"אג\"ח (!) FOREST"
5108329,"אלטשולר שחם מניות גלובלי עד 30% מט\"ח"
5125463,"פסטרנק שהם (!) אג\"ח חברות ללא מניות"
5118724,"תכלית TTF משולבת אגח ממשלתי קונצרני (90%) מניות (20%) מנוטרלת מט\"ח חודשי"
5117734,"אימפקט 20/80"
5102058,"מיטב (!) אג\"ח חברות ללא מניות"
5114236,"אלטשולר שחם 20/80"
5118195,"(!) מגדל פלוס 10/90 "
5124938,"מיטב ת\"א All-Share"
5121215,"MTF מחקה iBoxx US Liquid Investment Grade Top 30 "
5129184,"פסגות 15/85"
5109517,"קסם אקסלנס תיק מנוהל 15%"
5126164,"אלטשולר שחם 15-85"
5122577,"קסם אקסלנס תיק 20-80"
5128616,"FOREST מניות"
5125190,"אי.בי.אי. תיק השקעות מנוהל 50/50"
5125406,"מגדל 10/90 Buy Side"
5112651,"פסגות מודל דירוג (!) עד 10%"
5123146,"מיטב שקלית פלוס"
5106273,"ילין לפידות מנייתית"
5112925,"איילון 20/80"
5122502,"אי.בי.אי. 30/70"
